"","group","year","id","group_size","hr_area_low","hr_area_mean","hr_area_high","hr_area_sd"
"116","rr",2011,"rr_2011",27,0.800118356019136,1.27769268873896,1.8652333657346,0.271713012682516
"117","rr",2012,"rr_2012",22,1.21763820944376,1.64414526460848,2.13370608421743,0.233690784381039
"118","rr",2013,"rr_2013",24,0.550107700631644,0.981814686158747,1.53650539793397,0.251632065638348
"119","rr",2014,"rr_2014",25,0.904375192488739,1.52677355312072,2.3094838641422,0.358446089707515
"120","rr",2015,"rr_2015",23,0.779695644350222,1.42193621651821,2.25394075953317,0.376082937546671
"121","rr",2017,"rr_2017",13,0.425275464479656,0.802669866475919,1.2979334513166,0.222616833376773
"122","rr",2018,"rr_2018",21,0.517561714339527,1.07704364696211,1.83806929695418,0.336864179238432
"123","rr",2019,"rr_2019",17,0.358395190516437,0.59409614584257,0.888393274047051,0.135203592737401
"124","sp",2009,"sp_2009",23,0.423232017264916,1.00849459831386,1.84346578081089,0.36230453151683
"125","sp",2010,"sp_2010",26,1.46708857885435,1.82279628145491,2.21653421242815,0.191185110605561
"126","sp",2011,"sp_2011",26,0.782140421120713,1.28703863334471,1.91563670030603,0.289157214077888
"127","sp",2012,"sp_2012",30,0.618494000036749,0.924638946226873,1.29136130195601,0.171649821918179
"128","sp",2016,"sp_2016",29,0.563632969111203,1.26822581263285,2.25363589201073,0.431123194617226
"129","sp",2017,"sp_2017",29,1.11421296238887,1.77810209120516,2.5946454534996,0.377661349773146
"130","sp",2018,"sp_2018",28,0.5921672440484,0.876180134883098,1.21494922744697,0.158872954948614
